ligando,score_kcal_mol
20873,-10.1
29500,-10.3
17035,-7.5
19536,-6.6
22869,-8.4
14278,-7.2
28486,-7.3
10005223,-7.2
27174,-8.5
21197,-9.1
18911,-5.6
62170,-7.1
24231,-9.2
20685,-10.2
27325,-8.8
35736,-9.5
23347,-9.6
9001949,-8.1
9000630,-6.3
19735,-9.1
17548,-6.6
23646,-9.2
22383,-7.4
32830,-6.2
22410,-9.3
15180,-8.4
10009857,-7.9
19147,-9.3
29679,-7.7
21345,-7.1
11765,-7.4
22129,-8.2
34457,-8.4
20887,-14.5
15215,-7.8
34275,-7.7
17328,-8.7
35084,-7.4
16204,-7.2
9003450,-8.0
25518,-7.9
36825,-8.7
35266,-8.2
28174,-6.0
14119,-7.8
16435,-7.8
19174,-9.5
22133,-8.6
13176,-7.8
22818,-7.4
28242,-8.6
26611,-7.2
21752,-7.8
10008652,-8.4
33014,-8.3
27789,-9.9
31641,-8.0
21098,-7.4
23394,-6.9
25228,-7.3
28930,-8.4
21233,-7.5
35596,-7.5
28967,-8.8
11845,-8.8
13317,-8.5
13827,-6.7
28318,-8.3
30636,-9.9
33295,-10.6
28435,-7.6
27488,-7.7
28399,-7.2
19030,-7.1
11788,-9.2
26150,-8.1
15192,-6.9
19771,-9.5
25607,-6.8
17965,-7.7
21512,-8.9
19095,-7.5
36611,-8.0
29194,-8.9
15142,-7.5
24307,-8.0
20757,-6.6
24806,-7.5
36236,-8.1
10008335,-6.9
11215,-8.4
16044,-8.1
33169,-7.7
32750,-7.8
22353,-8.8
23884,-7.7
13668,-8.5
15484,-8.0
19634,-8.6
26975,-5.7
24178,-9.7
16774,-6.3
26210,-7.3
19989,-8.1
9003557,-6.7
30239,-8.7
14376,-8.3
21225,-7.2
18723,-7.3
19544,-6.1
29419,-8.2
11183,-6.7
31363,-8.1
32907,-7.7
36249,-8.2
16465,-7.2
15579,-9.5
24647,-5.8
24053,-8.0
22978,-8.0
24368,-6.0
9002686,-6.7
10009642,-7.6
17148,-8.3
15148,-8.4
24827,-7.6
15596,-8.1
13857,-6.6
29766,-8.1
14518,-8.8
17181,-7.5
16547,-9.1
14995,-7.1
31062,-8.6
16266,-7.0
11422,-8.5
70664,-6.1
28504,-9.0
10010111,-7.6
27254,-7.0
27054,-7.3
31636,-8.8
34058,-7.0
17521,-8.5
22957,-8.6
24391,-6.4
19532,-8.9
16945,-9.5
14315,-7.3
9001035,-8.5
10869,-7.8
10578,-8.4
35467,-7.9
23443,-7.8
10010428,-8.9
32794,-8.8
16031,-8.5
30770,-8.0
27079,-6.9
18679,-8.7
9003206,-8.7
28693,-7.3
29417,-8.4
22711,-9.3
28484,-10.1
15559,-7.6
36097,-6.6
9001453,-7.8
19843,-8.8
35136,-7.0
33060,-8.5
22199,-7.3
18525,-7.9
314840,-6.5
19941,-9.2
33979,-7.2
19363,-7.9
33276,-8.7
34523,-8.5
29751,-7.1
22893,-7.8
14770,-7.5
24357,-5.7
10675,-7.2
23554,-7.7
10010460,-7.6
9003568,-9.6
18311,-8.5
34737,-8.6
14862,-8.8
31140,-7.5
32829,-7.0
29400,-6.5
27838,-7.1
15938,-7.9
15261,-9.1
90072,-6.6
26552,-6.5
34131,-7.1
9002438,-8.0
14374,-8.2
26453,-8.9
33537,-8.8
19025,-7.5
16290,-7.1
11339,-10.7
11800,-8.0
23794,-7.5
31115,-9.1
20916,-8.4
21947,-9.3
28284,-7.2
20978,-8.2
23300,-8.7
17380,-9.4
22219,-7.5
15074,-8.9
31320,-7.2
29506,-9.1
21469,-8.8
30746,-7.1
31299,-7.3
18202,-7.2
28631,-6.7
19084,-6.5
26786,-8.5
12700,-7.4
28963,-7.1
20875,-7.7
21231,-8.6
10867,-8.1
35028,-7.4
23975,-9.3
25731,-7.7
18900,-6.9
26865,-5.6
29665,-7.9
18498,-8.6
23087,-8.4
23668,-7.7
21848,-5.6
18226,-7.9
11044,-6.5
28469,-10.7
19732,-7.7
17943,-8.9
29075,-5.8
20958,-6.1
31540,-7.5
15182,-9.6
17691,-9.7
28299,-8.3
9002008,-7.4
31283,-8.8
36301,-8.3
21340,-9.2
23541,-7.6
10010558,-7.9
90192,-6.5
30476,-6.7
63280,-5.9
30725,-7.4
25239,-8.5
60972,-6.3
14461,-8.5
15556,-9.4
11780,-9.3
19834,-8.5
30540,-5.7
30871,-7.8
19961,-10.7
18502,-8.1
19997,-6.6
21513,-9.2
14164,-8.9
30977,-8.7
27671,-7.4
19924,-8.0
16553,-9.4
22667,-5.8
17495,-10.8
15055,-7.4
9000142,-7.2
9001526,-7.7
14372,-9.0
28714,-8.1
17235,-6.4
17649,-8.1
28701,-7.9
35463,-9.6
27078,-7.3
32975,-8.2
13115,-8.7
27830,-9.0
9003560,-6.5
23648,-8.7
70560,-5.8
17693,-8.7
18350,-7.8
31745,-6.9
28074,-7.7
16894,-9.5
14358,-7.7
25942,-8.3
22749,-8.5
29577,-9.0
30497,-8.1
11073,-8.0
28598,-8.2
29571,-9.2
34231,-9.5
28079,-7.4
15519,-8.0
33275,-7.5
17382,-7.4
14881,-9.8
26817,-9.5
13803,-7.0
22998,-4.7
21973,-6.6
15267,-8.0
16713,-7.5
11184,-7.0
21373,-7.0
80234,-9.3
17988,-7.9
31336,-8.6
27185,-8.3
390050,-7.0
14061,-7.5
11679,-7.9
10010744,-9.3
18319,-9.0
31030,-7.1
25132,-8.1
14352,-7.1
22031,-7.9
26142,-8.8
20364,-5.4
20522,-7.1
20918,-7.2
31589,-7.9
18284,-8.8
15325,-11.1
18122,-7.7
26062,-7.5
11092,-9.2
36554,-9.7
11967,-7.3
28979,-7.0
15065,-8.5
20850,-9.9
20239,-8.0
23543,-7.8
17948,-6.6
18321,-8.9
29423,-7.1
29775,-7.4
37039,-7.6
25089,-7.3
26351,-8.8
15720,-8.0
11240,-8.3
17273,-7.3
19470,-8.7
23024,-8.4
17188,-7.2
22181,-8.3
26675,-9.0
28427,-7.4
16452,-7.3
13686,-8.2
28539,-9.0
14566,-8.4
36370,-8.7
21970,-8.0
9003239,-8.8
21374,-9.9
22099,-7.0
22233,-7.8
14568,-10.0
21136,-8.2
28822,-7.4
16824,-7.9
17919,-6.6
17669,-9.5
35365,-6.8
9000939,-1.1
19876,-7.6
30322,-7.9
31916,-10.7
16823,-7.6
33247,-7.7
29844,-7.4
33221,-7.8
19482,-8.5
90357,-5.8
10008205,-7.1
22855,-7.4
14024,-10.2
11973,-8.0
13910,-6.6
21356,-8.9
31090,-8.3
16732,-9.2
31333,-7.9
17696,-8.0
13577,-7.9
21205,-7.7
34748,-7.1
20784,-6.2
10004224,-6.5
19149,-9.0
22805,-8.5
33262,-6.9
11743,-8.9
15388,-8.0
13623,-6.5
19917,-8.4
16712,-8.1
29955,-9.6
25123,-7.5
9001043,-8.8
18545,-7.4
17503,-7.4
23868,-8.4
10009898,-7.8
18004,-8.5
80965,-9.1
13183,-8.2
25988,-9.2
21858,-8.5
11182,-6.6
36123,-7.2
36023,-7.1
19752,-7.6
23508,-7.4
19367,-8.1
34895,-8.0
14364,-8.2
14551,-8.2
33966,-8.6
45120,-6.7
23999,-8.1
