ligando,score_kcal_mol
19732,-6.977
19735,-8.164
19739,-8.741
19750,-6.636
19752,-7.693
19771,-9.461
19828,-7.647
19830,-7.563
19834,-8.099
19843,-8.189
19876,-7.850
19889,-7.956
19903,-9.133
19915,-6.884
19917,-8.008
19924,-9.224
19941,-8.119
19946,-8.237
19961,-9.780
19989,-7.491
19996,-8.234
19997,-7.342
20059,-8.115
20064,-6.279
20099,-6.929
20117,-6.839
20186,-7.351
20214,-7.917
20239,-7.663
20271,-8.723
20274,-7.710
20301,-7.437
20311,-7.469
20354,-8.219
20364,-5.738
20379,-8.445
20382,-7.342
20396,-7.160
20447,-8.024
20522,-6.469
20602,-5.649
20685,-8.609
20739,-6.490
20757,-6.301
20763,-7.726
20784,-5.375
20786,-7.763
20850,-7.870
20867,-7.686
20873,-10.449
20875,-6.783
20887,-10.480
20916,-6.996
20918,-7.649
20925,-8.198
20958,-6.027
20978,-7.805
20982,-8.817
21001,-7.490
21098,-4.982
21115,-8.115
21136,-7.923
21196,-8.336
21197,-8.085
21198,-8.186
21205,-7.589
21217,-6.556
21225,-7.045
21231,-6.088
21233,-7.467
21244,-6.802
21264,-6.905
21270,-9.072
21274,-6.933
21275,-7.998
21290,-6.613
21307,-7.695
21335,-9.683
21338,-7.102
21340,-8.982
21345,-7.455
21356,-8.573
21359,-7.704
21373,-6.720
21374,-8.063
21433,-6.186
21469,-8.119
21495,-6.918
21512,-7.787
21513,-8.968
21526,-5.739
21643,-6.867
21685,-7.615
21698,-7.256
21748,-8.023
21752,-6.760
21753,-6.902
21848,-5.592
21852,-7.486
21858,-7.750
21872,-7.419
21907,-5.928
21910,-7.072
21947,-9.798
21959,-8.223
21970,-7.660
21973,-6.462
22031,-7.272
22069,-9.933
22084,-7.387
22099,-6.515
22100,-7.222
22129,-8.119
22133,-8.396
22156,-8.764
22170,-8.348
22181,-7.559
22199,-7.913
22200,-8.015
22208,-8.464
22219,-6.187
22233,-8.380
22258,-7.739
22263,-8.084
22286,-7.381
22353,-8.533
22360,-7.509
22371,-7.519
22377,-8.365
22383,-6.835
22391,-7.727
22410,-8.305
22482,-6.824
22530,-5.971
22580,-5.549
22667,-5.626
22670,-6.746
22711,-8.533
22744,-7.740
22749,-8.109
22805,-7.361
22818,-7.404
22855,-7.251
22862,-7.955
22863,-8.526
22869,-8.362
22886,-6.192
22893,-6.692
22902,-7.200
22957,-8.389
22958,-7.658
22961,-8.069
22978,-8.153
22998,-4.510
23024,-7.997
23045,-7.716
23065,-7.758
23083,-6.819
23085,-8.265
23087,-6.808
23099,-8.137
23103,-8.605
23107,-7.343
23133,-6.744
23146,-7.926
23300,-7.850
23347,-7.673
23350,-8.903
23394,-7.308
23414,-7.633
23438,-7.485
23443,-8.453
23500,-9.289
23508,-7.126
23509,-8.552
23540,-7.099
23541,-7.285
23543,-6.447
23554,-7.583
23646,-7.292
23648,-7.167
23668,-6.744
23688,-5.898
23729,-7.431
23781,-6.137
23794,-6.499
23799,-5.993
23804,-9.119
23806,-8.790
23839,-6.692
23868,-7.921
23880,-6.995
23884,-7.373
23929,-7.698
23975,-9.611
23999,-5.206
24025,-7.522
24053,-7.072
24073,-6.270
24117,-8.813
24118,-6.262
24135,-9.399
24147,-7.952
24169,-8.291
24178,-9.079
24205,-5.585
24231,-9.259
24263,-5.190
24283,-9.085
24307,-5.871
24357,-6.000
24368,-5.581
24387,-5.984
24391,-5.719
24510,-7.742
24647,-5.587
24652,-5.226
24806,-7.121
24827,-6.933
25012,-7.687
25081,-7.566
25089,-6.322
25123,-7.650
25132,-7.189
25226,-8.087
25228,-6.799
25239,-8.026
25356,-7.224
25447,-6.738
25476,-7.716
25518,-6.470
25532,-6.449
25534,-6.748
25555,-7.875
25607,-7.543
25668,-6.501
25731,-7.652
25756,-7.018
25822,-6.490
25831,-9.475
25860,-7.771
25865,-6.904
25942,-8.900
25988,-7.713
26032,-8.269
26062,-6.089
26084,-7.494
26091,-9.283
26103,-6.617
26142,-8.297
26150,-8.002
26210,-7.809
26310,-7.519
26351,-8.008
26399,-8.392
26443,-5.803
26453,-9.321
26507,-7.431
26532,-9.662
26552,-6.285
26611,-6.491
26647,-6.882
26668,-7.955
26675,-7.540
26786,-6.805
26817,-7.427
26865,-5.322
26975,-5.614
27034,-7.015
27043,-8.102
27054,-5.763
27078,-6.614
27079,-5.890
27156,-8.453
27174,-8.422
27185,-7.811
27213,-8.241
27215,-9.029
27238,-8.931
27254,-7.761
27255,-7.212
27312,-7.115
27325,-9.034
27341,-7.150
27361,-7.797
27445,-6.140
27488,-7.367
27621,-7.687
27668,-7.303
27671,-6.863
27686,-8.158
27700,-7.142
27740,-6.884
27743,-7.106
27789,-7.658
27800,-8.056
27830,-10.020
27834,-7.279
27838,-7.539
27874,-5.389
27924,-6.139
28018,-5.690
28069,-7.652
28074,-7.719
28079,-6.710
28089,-7.904
28100,-6.700
28103,-9.224
28158,-7.424
28174,-5.536
28187,-7.915
28242,-7.317
28284,-6.889
28297,-7.865
28299,-6.993
28318,-8.078
28399,-6.972
28423,-7.378
28427,-7.160
28434,-6.943
28435,-6.607
28469,-8.246
28484,-9.194
28486,-7.719
28504,-8.332
28539,-7.693
28598,-8.600
28624,-8.483
28631,-6.045
28690,-7.079
28693,-7.346
28701,-7.709
28714,-6.683
28769,-7.314
28822,-5.907
28857,-7.553
28859,-7.268
28866,-8.671
28879,-6.688
28913,-8.381
28930,-8.498
28963,-7.244
28967,-8.229
28971,-7.426
28978,-7.761
28979,-7.263
28989,-7.471
29015,-7.898
29028,-8.443
29075,-5.667
29097,-7.056
29145,-8.060
29156,-7.393
29194,-7.080
29329,-5.967
29378,-6.884
29380,-8.422
29400,-5.921
29417,-7.081
29419,-8.599
29423,-7.076
29441,-7.961
29445,-7.399
29479,-8.508
29500,-7.416
29506,-8.704
29527,-7.736
29528,-8.313
29571,-9.155
29577,-7.595
29638,-6.444
29655,-8.077
29662,-8.737
29665,-7.252
29679,-7.303
29713,-6.112
29742,-7.178
29751,-7.487
29766,-7.640
29775,-8.212
29790,-8.024
29823,-6.545
29844,-6.697
29890,-7.026
29955,-8.918
30077,-6.276
30239,-7.874
30322,-6.330
30476,-6.954
30497,-6.211
30540,-5.651
30636,-7.493
30674,-6.748
30685,-7.104
30718,-9.316
30725,-7.371
30727,-6.166
30746,-6.836
30770,-6.611
30804,-7.108
30871,-6.405
30924,-6.330
30944,-7.180
30977,-9.133
30978,-9.003
31030,-6.880
31062,-7.818
31090,-8.537
31115,-9.090
31140,-6.633
31160,-5.790
31173,-7.429
31185,-9.205
31187,-8.212
31190,-8.069
312010,-6.241
31213,-7.083
31259,-5.466
31283,-8.005
31299,-6.237
31320,-8.009
31333,-8.350
31336,-8.187
31338,-8.367
31363,-7.457
31369,-5.835
31452,-7.422
314840,-5.983
31540,-7.296
31553,-7.283
31554,-7.405
31557,-5.958
31589,-7.372
31636,-7.473
31641,-7.833
31742,-8.837
31745,-6.504
31916,-9.461
32505,-6.260
32512,-6.834
32519,-7.446
32750,-8.072
32794,-7.766
32829,-6.362
32830,-6.494
32840,-6.310
32907,-7.164
32975,-8.166
33014,-7.280
33060,-6.057
33078,-7.297
33155,-6.621
33169,-7.655
33184,-8.265
33190,-6.610
33221,-7.519
33223,-7.466
33247,-7.577
33256,-6.308
33262,-6.524
33270,-8.788
33275,-6.979
33276,-9.178
33295,-9.888
33307,-5.010
33335,-7.403
33432,-6.050
33537,-7.222
33592,-6.402
33670,-6.774
33707,-8.240
33820,-7.824
33848,-9.736
33966,-8.915
33977,-7.893
33979,-7.431
33994,-7.836
34058,-7.103
34064,-6.076
34071,-6.891
34131,-6.319
34137,-7.496
34207,-7.223
34216,-6.385
34231,-8.502
34243,-7.539
34253,-8.147
34268,-7.137
34275,-7.566
34300,-6.729
34406,-5.599
34457,-7.266
34523,-8.833
34575,-7.985
34593,-7.756
34628,-8.075
34737,-7.283
34741,-6.669
34748,-7.201
34762,-7.599
34894,-6.808
34895,-7.593
35012,-7.465
35028,-6.620
35067,-9.009
35084,-7.355
35110,-9.287
35136,-6.445
35138,-8.252
35253,-9.402
35266,-7.169
35278,-8.655
35334,-7.575
35365,-7.342
35463,-7.788
35467,-7.063
35503,-8.279
35566,-7.623
35596,-7.439
35609,-6.548
35703,-7.973
35705,-8.390
35736,-10.594
36023,-7.539
36097,-6.300
36123,-7.598
36129,-6.897
36136,-8.321
36160,-6.444
36236,-7.267
36249,-7.119
36301,-7.935
36345,-6.920
36370,-7.635
36525,-7.952
36534,-6.042
36554,-8.909
36611,-7.846
36743,-7.151
36825,-8.104
36827,-7.800
36876,-8.067
37039,-6.662
37047,-7.667
37058,-7.607
37208,-8.286
37282,-5.726
390050,-6.442
45120,-6.084
60930,-5.247
60972,-6.652
62170,-6.599
62175,-5.799
62525,-5.451
63280,-6.063
70560,-5.936
70664,-6.064
70680,-7.188
70935,-7.473
71650,-6.667
71770,-8.205
80123,-8.002
80234,-8.423
80345,-8.259
80475,-6.992
80578,-7.484
80689,-8.190
80772,-5.759
80965,-7.882
81500,-6.558
9000142,-5.861
9000249,-7.158
9000288,-6.227
9000630,-6.583
9000939,-1.035
9001035,-8.677
9001043,-7.827
90011,-6.287
9001204,-6.904
9001234,-6.009
9001453,-7.788
9001475,-5.521
9001526,-7.863
9001533,-8.157
9001949,-7.703
9001990,-7.351
9002008,-6.119
9002272,-8.456
9002314,-6.840
9002438,-6.930
9002630,-9.772
9002686,-6.761
9002737,-7.954
9003206,-7.696
9003239,-8.913
9003320,-5.279
9003450,-7.613
9003557,-6.316
9003558,-6.218
9003560,-5.536
9003568,-9.287
90072,-6.427
90192,-5.921
90262,-6.455
90330,-6.055
90357,-5.859
