ligando,score_kcal_mol
10006973,-8.2
17507,-7.9
20836,-8.1
21669,-8.7
30617,-8.3
35642,-8.4
HY-100902,-8.2
HY-109025A,-8.5
HY-112879,-8.0
HY-113960,-8.0
HY-124607B,-7.8
HY-130684,-8.0
HY-135805A,-8.9
HY-144894,-8.1
HY-14881,-9.2
HY-15335,-7.6
HY-66019,-8.3
HY-D0022,-8.0
HY-N2201,-8.6
HY-N2522,-7.1
