ligando,score_kcal_mol
10006973,-7.5
17507,-6.7
20836,-7.1
21669,-8.3
30617,-7.2
35642,-9.0
HY-100902,-6.8
HY-109025A,-7.7
HY-112879,-7.1
HY-113960,-6.5
HY-124607B,-6.3
HY-130684,-7.4
HY-135805A,-9.0
HY-144894,-9.0
HY-14881,-6.7
HY-15335,-6.4
HY-66019,-7.6
HY-D0022,-7.1
HY-N2201,-7.2
HY-N2522,-6.9
